,year,code,addr_1,apt_name,address,price,con_year,area,floor,py,cnt
count,668242,668242,668242,668242,668242,668242.0,668242.0,668242.0,668242.0,668242.0,668242.0
unique,9,25,25,7689,8902,NULL,NULL,NULL,NULL,NULL,NULL
top,2015,11350,서울_노원,현대,서울특별시 송파구 신천동 17 파크리오,NULL,NULL,NULL,NULL,NULL,NULL
freq,120200,65187,65187,6098,2913,NULL,NULL,NULL,NULL,NULL,NULL
mean,NULL,NULL,NULL,NULL,NULL,69273.60395335821,1999.910010146025,77.77577434522225,9.08053070594186,2935.39394111714,1.0
std,NULL,NULL,NULL,NULL,NULL,54137.98849492949,9.78823130712496,30.351890694662107,6.1394481736797335,1715.7460047220675,0.0
min,NULL,NULL,NULL,NULL,NULL,700.0,1961.0,10.0,1.0,27.0,1.0
25%,NULL,NULL,NULL,NULL,NULL,37000.0,1993.0,60.0,4.0,1765.0,1.0
50%,NULL,NULL,NULL,NULL,NULL,54000.0,2000.0,84.0,8.0,2426.0,1.0
75%,NULL,NULL,NULL,NULL,NULL,83500.0,2006.0,85.0,13.0,3536.0,1.0
max,NULL,NULL,NULL,NULL,NULL,1800000.0,2023.0,424.0,69.0,29071.0,1.0
